Riesgos	acp_cov.x...1.	acp_cov.x...2.	acp_cov.x...3.	acp_cov.x...29.	acp_cov.x...30.	Nivel
92.59704813	-295.0745732	-30.99406737	44.53656452	0.271973479	-4.093426184	Alto
91.07259664	-285.4481647	-33.45096338	42.28905549	-0.430494131	-3.101940327	Alto
89.13526594	-272.7073004	-33.54473006	29.67523343	-1.160127937	0.684556464	Alto
90.79890043	-285.0724713	-33.82472949	33.82516202	-0.41690474	1.149447468	Alto
90.47864153	-281.5551911	-31.24746684	35.06482463	2.036520435	3.372044415	Alto
89.60861652	-277.0299129	-37.5645544	33.09425985	2.463953998	2.797667696	Alto
90.59977029	-282.9461248	-32.45438083	36.61083347	-1.298829351	2.070778933	Alto
90.74771901	-282.5914722	-32.39363995	33.50839237	-3.537557198	-0.220105705	Alto
90.24277297	-279.096895	-35.91070987	39.31069788	2.133637356	3.459611561	Alto
90.63436231	-283.5331131	-29.53822129	29.22466776	2.348338533	-1.777256109	Alto
91.32908745	-285.7380513	-33.72639426	31.79841928	0.992122323	-0.158528073	Alto
91.2129314	-286.3223211	-35.68419703	33.99966181	-1.666946112	-2.89060181	Alto
91.08072356	-286.8259501	-28.0174528	39.34669654	0.117062591	-0.816947844	Alto
89.22061216	-274.7272545	-34.16117233	29.30868101	2.460033406	1.342466054	Alto
89.59345823	-276.782875	-34.70970298	30.41326437	1.563008344	3.724936587	Alto
89.75632142	-278.2328114	-32.65215417	32.41805512	-0.936187021	1.715936216	Alto
90.51952444	-282.5064445	-28.52980702	36.19902427	1.322295968	-1.779287646	Alto
90.56817991	-281.5286927	-36.90924315	35.74401627	-0.778295905	0.265527714	Alto
89.88007417	-277.6041362	-33.00610766	43.13513967	-1.232676839	4.049239563	Alto
90.37173977	-280.3729519	-32.42026841	31.26913956	2.021314907	-2.246107385	Alto
89.96933926	-276.6348399	-33.52061473	34.16262181	-0.332198243	0.351563292	Alto
90.23003611	-280.4225105	-36.84232681	34.16124975	0.359116393	2.626660408	Alto
91.37322466	-286.3225204	-33.06475398	41.0272282	-0.812742534	-0.55606802	Alto
89.82461612	-276.6253409	-34.8143469	30.46435406	-2.196070632	1.703851362	Alto
90.85346945	-285.8728939	-32.69508203	35.76830037	1.314863248	-0.541387233	Alto
90.56252497	-281.4076282	-32.04127224	33.36096292	-0.671559596	0.256263846	Alto
90.08298042	-280.1886688	-34.17188751	33.4642072	-0.175873659	2.695632273	Alto
89.138768	-273.1902886	-35.30053259	27.95147125	0.424018508	-0.201476403	Alto
90.66089714	-281.740187	-37.50005526	30.11651065	4.20120124	-1.614162505	Alto
90.58405061	-281.3984438	-33.50130125	30.54245577	0.029705672	-1.16091676	Alto
91.17709921	-285.6436705	-31.08285681	31.28548264	1.305329623	0.551639569	Alto
89.95390083	-277.2745337	-34.92392895	37.89659714	-0.683661487	0.765728097	Alto
89.38359723	-275.6209975	-29.96212085	27.26269379	2.331369731	-0.2937192	Alto
90.74738469	-283.0403283	-33.88966424	38.74772422	1.353519214	2.755017521	Alto
90.88219627	-282.8203027	-30.47550837	35.55883538	2.055445833	-1.828759098	Alto
91.15399372	-284.2472698	-34.48703531	37.15130021	-0.428240429	2.743631171	Alto
91.5038758	-288.8729702	-31.99103935	34.10516423	3.039084295	-2.240052313	Alto
89.74926702	-276.9720506	-34.39801268	37.02253865	2.54470529	3.161530075	Alto
90.91282409	-284.6866018	-31.68491768	34.1901944	-0.871863729	2.090887273	Alto
92.41360275	-294.1912658	-33.32534942	39.68922048	1.797605866	-0.181821826	Alto
90.87634928	-284.5811872	-32.13505735	37.35245036	1.179313648	2.771571399	Alto
92.00282412	-291.5914595	-29.85810701	37.27632299	1.269285044	0.120467889	Alto
89.33113832	-273.9250457	-37.78895852	24.59480882	-0.192995119	-1.607210224	Alto
91.85524305	-290.0450334	-31.32091805	36.64885303	2.222361901	-2.172771948	Alto
