Src,aux,Dest,Weight
Agente25393,1,Agente24518,1
Agente21451,1,Agente24828,1
Agente26273,1,Agente23159,1
Agente6293,1,Agente23623,1
Agente18804,1,Agente20325,1
Agente20168,1,Agente6674,1
Agente22848,1,Agente15761,1
Agente15169,1,Agente8409,4
Agente22026,1,Agente1671,1
Agente2476,1,Agente19238,1
Agente19536,1,Agente20930,1
Agente610,1,Agente19390,1
Agente18731,1,Agente14630,1
Agente13773,1,Agente8351,1
Agente19553,1,Agente15521,1
Agente9875,1,Agente23788,1
Agente26177,1,Agente2874,1
Agente6393,1,Agente6783,1
Agente8464,1,Agente17445,3
Agente27588,1,Agente3215,1
Agente15772,1,Agente23911,1
Agente24008,1,Agente23804,1
Agente25272,1,Agente9060,2
Agente23944,1,Agente4833,1
Agente24706,1,Agente23614,1
Agente21337,1,Agente24569,1
Agente21242,1,Agente17110,1
Agente11812,1,Agente19589,1
Agente30621,1,Agente24918,1
Agente25506,1,Agente18580,1
Agente12234,1,Agente16868,1
Agente27141,1,Agente22799,6
Agente10641,1,Agente21059,1
Agente18547,1,Agente219,1
Agente16602,1,Agente28006,1
Agente20555,1,Agente14590,1
Agente22290,1,Agente6605,1
Agente19389,1,Agente16895,4
Agente23241,1,Agente12884,1
Agente20945,1,Agente10653,1
Agente24706,1,Agente30351,1
Agente24377,1,Agente11026,2
Agente15400,1,Agente26887,1
Agente19537,1,Agente31249,2
Agente15194,1,Agente23861,1
Agente14971,1,Agente20501,1
Agente21128,1,Agente25926,1
Agente19144,1,Agente27739,1
Agente14085,1,Agente22357,1
Agente2833,1,Agente21572,1
Agente25272,1,Agente21890,1
Agente1610,1,Agente15467,1
Agente3890,1,Agente4685,1
Agente14768,1,Agente2420,1
Agente7832,1,Agente5552,1
Agente19496,1,Agente18408,2
Agente4428,1,Agente15294,1
Agente23278,1,Agente23623,2
Agente16389,1,Agente14591,1
Agente16682,1,Agente11026,1
Agente19704,1,Agente15879,1
Agente2820,1,Agente21662,1
Agente15169,1,Agente22909,4
Agente20148,1,Agente18199,1
Agente23944,1,Agente23714,1
Agente25957,1,Agente16558,1
Agente8506,1,Agente23623,1
Agente18466,1,Agente21911,1
Agente19710,1,Agente21118,1
Agente18023,1,Agente13967,3
Agente22881,1,Agente23100,1
Agente21890,1,Agente26644,1
Agente21168,1,Agente6527,1
Agente27259,1,Agente20421,1
Agente12313,1,Agente22843,1
Agente25665,1,Agente22956,1
Agente1722,1,Agente24084,1
Agente16986,1,Agente22807,1
Agente16602,1,Agente24975,1
Agente13028,1,Agente27247,1
Agente14630,1,Agente23743,1
Agente19643,1,Agente22543,1
Agente15275,1,Agente10268,1
Agente16240,1,Agente21603,1
Agente15974,1,Agente25983,1
Agente30714,1,Agente24589,1
Agente15169,1,Agente19731,1
Agente28601,1,Agente11951,1
Agente14629,1,Agente21662,1
Agente16240,1,Agente26740,2
Agente14269,1,Agente17286,1
Agente24377,1,Agente18356,1
Agente27588,1,Agente24095,2
Agente12058,1,Agente23159,1
Agente19640,1,Agente12242,1
Agente3288,1,Agente21533,1
Agente3612,1,Agente24828,1
Agente8404,1,Agente8021,1
Agente23362,1,Agente25330,1
Agente4938,1,Agente17278,2
Agente23944,1,Agente16602,1
Agente21122,1,Agente17278,1
Agente24004,1,Agente17822,1
Agente3595,1,Agente8556,1
Agente2476,1,Agente11348,1
Agente24424,1,Agente26993,2
Agente18865,1,Agente20164,1
Agente24975,1,Agente30351,1
Agente21299,1,Agente25910,1
Agente16833,1,Agente15165,1
Agente16240,1,Agente26543,1
Agente18434,1,Agente25997,1
Agente7661,1,Agente12741,1
Agente18865,1,Agente9326,1
Agente27032,1,Agente21270,1
Agente15011,1,Agente17636,1
Agente23944,1,Agente14095,1
Agente22396,1,Agente26111,1
Agente25187,1,Agente18107,1
Agente1736,1,Agente18356,1
Agente15169,1,Agente25957,7
Agente20628,1,Agente10342,1
Agente20993,1,Agente15772,1
Agente27905,1,Agente19067,1
Agente636,1,Agente16647,1
Agente8409,1,Agente21270,1
Agente4740,1,Agente6428,1
Agente17297,1,Agente24593,1
Agente18865,1,Agente19941,1
Agente20761,1,Agente87,1
Agente1500,1,Agente11022,1
Agente15772,1,Agente17423,1
Agente18077,1,Agente15591,1
Agente24676,1,Agente23374,1
Agente4856,1,Agente18606,1
Agente17676,1,Agente23022,2
Agente22473,1,Agente14629,1
Agente21451,1,Agente10268,1
Agente24004,1,Agente19004,1
Agente27032,1,Agente16558,3
Agente24226,1,Agente18356,1
Agente19496,1,Agente2908,1
Agente30621,1,Agente24975,3
Agente18574,1,Agente18703,1
Agente1722,1,Agente11462,1
Agente16555,1,Agente29054,1
Agente14946,1,Agente27434,1
Agente25801,1,Agente18306,1
Agente1736,1,Agente24095,2
Agente23476,1,Agente26678,1
Agente21099,1,Agente6006,1
Agente6569,1,Agente24428,1
Agente651,1,Agente18030,1
Agente31249,1,Agente15092,1
Agente9192,1,Agente17491,1
Agente26931,1,Agente20998,1
Agente21419,1,Agente26347,1
Agente22482,1,Agente4430,1
Agente22909,1,Agente16558,2
Agente25333,1,Agente15086,1
Agente22881,1,Agente3366,1
Agente26465,1,Agente14590,1
Agente8556,1,Agente21213,1
Agente26333,1,Agente16165,1
Agente26267,1,Agente8462,1
Agente27032,1,Agente9060,1
Agente9060,1,Agente25957,3
Agente23016,1,Agente19552,1
Agente9880,1,Agente22601,1
Agente562,1,Agente12687,1
Agente22217,1,Agente27252,1
Agente21388,1,Agente18574,1
Agente18434,1,Agente26131,1
Agente26352,1,Agente23028,1
Agente26644,1,Agente17445,1
Agente8464,1,Agente15610,1
Agente21064,1,Agente14117,1
Agente25408,1,Agente31282,1
Agente28476,1,Agente6510,1
Agente4885,1,Agente10119,1
Agente2044,1,Agente5062,1
Agente2044,1,Agente5830,1
Agente5062,1,Agente5830,1
Agente25403,1,Agente16558,5
Agente9572,1,Agente11350,1
Agente10876,1,Agente25637,1
Agente24492,1,Agente17149,1
Agente20564,1,Agente26981,1
Agente21856,1,Agente14506,2
Agente8506,1,Agente17964,1
Agente24377,1,Agente2820,1
Agente23528,1,Agente21490,1
Agente1665,1,Agente21916,1
Agente30621,1,Agente14095,2
Agente17278,1,Agente21311,1
Agente11788,1,Agente17278,1
Agente19417,1,Agente6510,1
Agente22710,1,Agente431,1
Agente19296,1,Agente16783,1
Agente12506,1,Agente17278,2
Agente15633,1,Agente12751,1
Agente14106,1,Agente16700,1
Agente25315,1,Agente9733,1
Agente15580,1,Agente20711,1
Agente10241,1,Agente21553,1
Agente22168,1,Agente15169,1
Agente22328,1,Agente6569,1
Agente23042,1,Agente23263,1
Agente30626,1,Agente24820,1
Agente3021,1,Agente22543,1
Agente20842,1,Agente2820,1
Agente18356,1,Agente9686,1
